Album Name,Artist,listens,Number of Songs,Shortest Song Duration,Longest Duration,Album Duration,Release Date
Dreamchasers 4,Meek Mill,"3,285,280",14,3:04,5:27,0:55:38,10/27/2016
Y.R.N. 2 (Young Rich Niggas 2),Migos,"1,608,264",14,3:59,5:18,1:04:00,01/18/2016
B D S E - Definitive Collection - Chopp'd & Scrw'd,Notorious B.I.G.,"1,679,267",20,,,,03/04/2008
August 26th,Post Malone,"2,095,084",10,2:24,5:02,0:37:47,05/13/2016
Rich Forever,Rick Ross,"1,837,346",20,2:36,6:08,1:19:00,01/06/2012
Chixtape 4,Tory Lanez,"1,302,018",12,,,0:38:07,01/01/2017
The New Toronto,Tory Lanez,"1,909,071",11,1:36,5:12,0:40:52,12/25/2015
To Whom It May Concern,Trey Songz,"1,809,408",12,,,0:58:19,11/28/2015
Bakers Dozen - Definitive Collection Ugk (Chopped & Screwed) [Pimp C Tribute],Ugk,"2,225,799",20,,,,01/17/2008
Cabin Fever,Wiz Khalifa,"1,777,630",9,2:28,5:33,0:35:53,02/17/2011
Cabin Fever 2,Wiz Khalifa,"1,361,477",14,2:31,5:42,0:54:17,10/16/2012
Cabin Fever 3,Wiz,"2,246,850",11,2:47,5:50,0:41:13,12/15/2015
Kush & OJ,Wiz Khalifa,"2,549,245",20,1:29,5:06,0:57:27,06/14/2010
Taylor Allderdice,Wiz Khalifa,"2,360,641",17,2:26,4:54,1:01:08,03/13/2012
The Return,Yo Gotti,"1,405,316",20,2:29,5:04,0:58:31,09/11/2015
I'm Up,Young Thug,"1,296,629",9,3:45,5:04,0:38:03,02/05/2016
"No, My Name Is Jeffery",Young Thug,"1,352,267",10,2:45,6:01,0:42:15,08/26/2016
Slime Season,Young Thug,"3,214,521",18,2:41,5:33,1:10:06,09/16/2015
Slime Season 2,,"2,857,852",22,3:02,4:57,1:27:38,10/31/2015
Slime Season 3,Young Thug,"1,841,168",8,2:56,4:38,0:28:20,03/25/2016
