,down,time,TimeSecs,PlayTimeDiff,SideofField
356137,1.0,11:44,704.0,44.0,SD
121832,2.0,06:50,410.0,44.0,BUF
144073,,15:00,3600.0,0.0,KC
204805,3.0,06:50,3110.0,6.0,BAL
112446,1.0,01:40,2800.0,30.0,BUF
308451,1.0,13:27,807.0,38.0,NYJ
151920,3.0,04:30,2970.0,35.0,TEN
148809,,07:50,470.0,5.0,CLE
366943,2.0,03:47,227.0,44.0,LAC
103148,1.0,01:54,1914.0,6.0,IND
85920,2.0,07:43,3163.0,3.0,NYG
382452,,08:30,510.0,0.0,LAC
187419,4.0,13:03,2583.0,49.0,MIA
181139,2.0,06:29,2189.0,33.0,CIN
254024,3.0,10:05,2405.0,42.0,ATL
165910,1.0,03:53,1133.0,0.0,ATL
373550,2.0,07:34,454.0,46.0,WAS
165967,3.0,00:26,26.0,24.0,ATL
236903,1.0,11:12,2472.0,4.0,TB
292938,1.0,02:55,2875.0,40.0,BUF
156342,1.0,08:25,3205.0,42.0,WAS
251314,2.0,06:53,1313.0,47.0,CAR
206708,,03:21,201.0,8.0,DET
361954,2.0,05:35,2135.0,5.0,SF
399221,2.0,02:47,167.0,0.0,MIA
152158,1.0,13:14,1694.0,31.0,CLE
306177,1.0,10:34,634.0,43.0,DET
380483,3.0,13:37,1717.0,44.0,LAC
111067,2.0,08:50,1430.0,36.0,OAK
3716,,13:57,1737.0,0.0,NYJ
328922,2.0,12:40,760.0,37.0,TEN
36411,,02:00,120.0,6.0,JAC
292867,3.0,05:14,314.0,41.0,NO
296489,1.0,00:45,945.0,4.0,NE
161890,1.0,14:47,2687.0,8.0,JAC
75052,2.0,09:34,2374.0,37.0,DEN
118767,,00:00,1800.0,3.0,STL
258042,1.0,02:23,143.0,0.0,TB
367480,1.0,04:41,281.0,5.0,DEN
170341,2.0,12:42,1662.0,36.0,JAC
22733,3.0,11:31,691.0,40.0,ATL
328345,1.0,01:27,1887.0,19.0,MID
333333,3.0,05:56,1256.0,37.0,CHI
125445,,09:01,541.0,0.0,SD
44095,4.0,03:02,182.0,5.0,OAK
235210,,03:25,205.0,10.0,JAC
107649,2.0,14:45,2685.0,5.0,JAC
206310,1.0,11:33,693.0,43.0,BUF
30994,2.0,13:06,3486.0,35.0,NE
1,1.0,14:53,3593.0,7.0,PIT
94540,,13:30,810.0,0.0,DEN
351798,2.0,04:49,289.0,3.0,WAS
29568,4.0,06:59,1319.0,22.0,PHI
1865,3.0,07:29,449.0,0.0,ARI
205101,2.0,12:46,766.0,35.0,CHI
353142,2.0,03:01,1981.0,4.0,TB
335896,2.0,07:18,438.0,39.0,HOU
229074,3.0,05:01,3001.0,28.0,NO
38676,3.0,07:30,1350.0,5.0,SEA
242126,2.0,02:19,2839.0,36.0,CLE
141312,1.0,13:27,807.0,14.0,CIN
183826,1.0,12:43,3463.0,25.0,WAS
264662,3.0,00:15,1815.0,7.0,DAL
330708,2.0,12:24,3444.0,6.0,BUF
64211,2.0,10:53,653.0,42.0,TEN
204434,3.0,05:12,312.0,41.0,OAK
264520,,02:19,1039.0,5.0,SF
85159,1.0,05:37,337.0,11.0,WAS
216254,1.0,14:56,3596.0,4.0,NYG
181701,1.0,12:19,1639.0,7.0,IND
60930,1.0,00:54,1854.0,23.0,JAC
364592,1.0,06:04,2164.0,40.0,NYG
111261,,06:33,1293.0,0.0,CIN
82883,2.0,13:15,795.0,29.0,DAL
78095,4.0,08:35,3215.0,10.0,NYJ
304131,2.0,05:43,3043.0,40.0,CLE
129789,1.0,00:00,0.0,35.0,WAS
162558,,03:22,1102.0,6.0,IND
219517,2.0,11:31,1591.0,37.0,BAL
168362,1.0,14:48,2688.0,12.0,PHI
372406,,08:18,1398.0,9.0,DAL
297765,2.0,13:55,835.0,30.0,STL
84266,2.0,09:00,540.0,36.0,CLE
169197,3.0,10:34,3334.0,45.0,BUF
220951,2.0,01:01,61.0,45.0,CLE
185649,1.0,03:45,2925.0,42.0,KC
347340,2.0,10:38,1538.0,48.0,SF
57083,1.0,10:03,3303.0,8.0,TEN
280410,4.0,15:00,2700.0,0.0,CHI
49934,2.0,04:18,258.0,26.0,NYG
189296,1.0,14:53,1793.0,7.0,NYG
142732,3.0,08:56,1436.0,36.0,BAL
163503,2.0,13:09,789.0,5.0,NYJ
155174,1.0,14:53,2693.0,0.0,DEN
340789,1.0,08:20,2300.0,7.0,BAL
225760,1.0,13:50,830.0,21.0,CLE
390448,2.0,13:33,813.0,7.0,NE
365076,,00:00,2700.0,38.0,HOU
274296,2.0,15:00,900.0,0.0,MIN
43650,1.0,03:30,2910.0,42.0,GB
28366,2.0,09:39,579.0,32.0,NYG
30626,1.0,10:49,649.0,43.0,NE
391204,3.0,02:42,2862.0,43.0,WAS
250492,1.0,06:20,3080.0,28.0,OAK
344848,4.0,14:27,2667.0,22.0,LA
162762,2.0,06:05,365.0,42.0,BAL
378695,1.0,05:48,2148.0,24.0,KC
253300,1.0,08:16,3196.0,41.0,GB
56785,1.0,12:14,2534.0,5.0,ATL
38084,2.0,09:42,2382.0,8.0,PIT
339856,3.0,11:24,2484.0,47.0,CAR
309738,,04:53,2993.0,10.0,GB
86023,,00:00,900.0,47.0,GB
219716,2.0,00:19,919.0,30.0,MIA
44171,1.0,02:33,1953.0,41.0,PHI
360825,1.0,14:07,847.0,11.0,CHI
64365,2.0,15:00,900.0,0.0,NE
362659,2.0,11:35,3395.0,40.0,NYJ
399551,1.0,06:13,373.0,38.0,DET
182798,2.0,00:19,1819.0,5.0,NYJ
256602,3.0,06:26,386.0,48.0,CHI
158528,2.0,02:21,1041.0,38.0,NE
244405,4.0,13:40,2620.0,0.0,TB
178592,,05:22,1222.0,5.0,HOU
200553,4.0,08:30,510.0,32.0,CIN
105448,3.0,03:27,2007.0,41.0,NYJ
392501,3.0,03:48,1128.0,34.0,NYJ
276459,1.0,00:39,939.0,7.0,WAS
395827,3.0,03:39,1119.0,37.0,CAR
251097,3.0,00:45,1845.0,0.0,CHI
101406,1.0,08:14,2294.0,11.0,NYG
311527,1.0,00:26,1826.0,0.0,DET
307666,2.0,09:44,2384.0,5.0,DAL
53453,3.0,10:05,3305.0,4.0,DEN
300314,1.0,13:06,3486.0,13.0,CIN
371586,1.0,03:04,184.0,5.0,CAR
374283,2.0,02:05,125.0,4.0,IND
68725,1.0,03:09,1989.0,8.0,MIN
257996,1.0,05:01,1201.0,35.0,TB
302387,2.0,04:46,2086.0,4.0,BAL
224154,3.0,09:36,1476.0,37.0,SEA
316945,2.0,06:17,2177.0,37.0,TB
81809,2.0,11:26,1586.0,29.0,ARI
320481,,01:54,114.0,6.0,NO
371331,3.0,06:09,1269.0,40.0,NYJ
130709,3.0,03:34,214.0,43.0,NYG
133385,2.0,09:51,2391.0,35.0,OAK
88365,,11:29,1589.0,0.0,TEN
147633,3.0,03:14,2894.0,36.0,TEN
176302,3.0,00:47,1847.0,5.0,HOU
25401,2.0,13:20,800.0,40.0,IND
31108,2.0,03:31,1111.0,41.0,NE
150095,1.0,02:17,1037.0,37.0,NYG
3307,2.0,10:42,2442.0,6.0,TEN
357077,1.0,00:51,51.0,16.0,BUF
80785,1.0,00:35,35.0,6.0,MIN
74476,,15:00,3600.0,0.0,MIA
116047,2.0,03:36,1116.0,26.0,BAL
359040,3.0,15:00,900.0,0.0,CIN
284329,,15:00,3600.0,0.0,SD
75318,2.0,11:30,690.0,43.0,IND
3581,1.0,12:50,770.0,6.0,NO
40017,3.0,03:41,1121.0,28.0,NYG
253999,2.0,03:36,2916.0,49.0,ATL
138573,2.0,10:14,1514.0,42.0,CAR
203038,1.0,06:44,404.0,6.0,CLE
96669,1.0,07:21,1341.0,33.0,BAL
1770,3.0,09:00,2340.0,0.0,ARI
361985,2.0,12:49,1669.0,5.0,SEA
165836,3.0,12:00,2520.0,25.0,NO
332027,4.0,04:56,2996.0,5.0,MIA
245163,2.0,08:43,1423.0,32.0,MIA
162320,3.0,02:03,1923.0,45.0,MID
372996,3.0,14:01,841.0,43.0,SF
308614,1.0,07:10,1330.0,36.0,NYG
8998,2.0,12:34,1654.0,41.0,IND
161692,,08:31,3211.0,4.0,KC
41785,,08:17,1397.0,5.0,CHI
358793,3.0,09:34,2374.0,47.0,LA
241169,3.0,15:00,900.0,0.0,NYG
283689,1.0,01:56,1916.0,12.0,DET
158703,2.0,11:19,1579.0,36.0,BAL
129330,4.0,10:58,2458.0,38.0,ARI
199221,1.0,03:21,2901.0,32.0,JAC
235664,2.0,05:04,2104.0,34.0,NO
364456,1.0,10:29,1529.0,4.0,SEA
344332,4.0,08:47,2327.0,5.0,KC
362956,1.0,13:06,786.0,43.0,PHI
285743,3.0,12:15,735.0,40.0,CLE
277681,1.0,10:46,2446.0,8.0,PHI
142180,1.0,09:17,1457.0,21.0,PHI
